ciarovy_kod,vzdialenost,priemer
,428.83,404.5575
,429.83,404.5347
,430.83,404.4707
,431.83,404.4525
,432.83,404.4939
,433.83,404.5803
,434.83,404.6105
,435.83,404.5730
,436.83,404.4972
,437.83,404.4918
,438.83,404.5475
,439.83,404.6157
,440.83,404.6090
,441.83,404.5403
,442.83,404.4988
,443.83,404.5253
,444.83,404.6028
,445.83,404.6318
,446.83,404.5995
,447.83,404.5308
,448.83,404.5179
,449.83,404.5351
,450.83,404.5862
,451.83,404.5685
,452.83,404.4899
,453.83,404.4211
,454.83,404.4330
,455.83,404.4986
,456.83,404.5429
,457.83,404.5179
,458.83,404.4362
,459.83,404.3969
,460.83,404.4190
,461.83,404.4961
,462.83,404.5037
,463.83,404.4485
,464.83,404.3596
,465.83,404.3526
,466.83,404.3911
,467.83,404.4620
,468.83,404.4586
,469.83,404.3935
,470.83,404.3473
,471.83,404.3673
,472.83,404.4395
,473.83,404.4718
,474.83,404.4327
,475.83,404.3535
,476.83,404.3319
,477.83,404.3655
,478.83,404.4525
,479.83,404.4622
,480.83,404.4209
,481.83,404.3383
,482.83,404.3401
,483.83,404.4013
,484.83,404.4608
,485.83,404.4465
,486.83,404.3691
,487.83,404.3445
,488.83,404.3775
,489.83,404.4563
,490.83,404.4861
,491.83,404.4669
,492.83,404.3940
,493.83,404.3926
,494.83,404.4552
,495.83,404.5302
,496.83,404.5112
,497.83,404.4432
,498.83,404.4121
,499.83,404.4380
,500.83,404.5196
,501.83,404.5647
,502.83,404.5435
,503.83,404.4847
,504.83,404.4669
,505.83,404.5036
,506.83,404.6041
,507.83,404.6460
,508.83,404.5924
,509.83,404.4934
,510.83,404.4819
,511.83,404.5480
,512.83,404.6264
,513.83,404.6098
,514.83,404.5296
,515.83,404.4870
,516.83,404.5119
,517.83,404.5936
,518.83,404.6301
,519.83,404.5910
,520.83,404.4979
,521.83,404.4931
,522.83,404.5365
,523.83,404.6143
,524.83,404.6019
,525.83,404.5254
,526.83,404.4689
,527.83,404.4728
,528.83,404.5190
,529.83,404.5696
,530.83,404.5526
,531.83,404.4850
,532.83,404.4539
,533.83,404.4904
,534.83,404.5982
,535.83,404.6223
,536.83,404.5460
